0,42,541,30
1,45,277,30
2,48,638,30
3,83,305,30
4,85,163,30
5,85,278,30
6,98,903,30
7,103,606,30
8,106,453,30
9,143,869,30
10,151,902,30
11,161,77,30
12,188,662,30
13,208,597,30
14,226,328,30
15,232,636,30
16,233,425,30
17,237,589,30
18,243,172,30
19,266,505,30
20,297,708,30
21,304,640,30
22,318,362,30
23,319,650,30
24,324,679,30
25,332,79,30
26,345,253,30
27,391,863,30
28,409,703,30
29,411,784,30
30,443,500,30
31,467,406,30
32,476,592,30
33,506,777,30
34,518,912,30
35,529,145,30
36,538,164,30
37,557,477,30
38,586,429,30
39,608,487,30
40,629,233,30
41,632,940,30
42,681,554,30
43,684,743,30
44,730,484,30
45,784,215,30
46,795,703,76
47,808,714,76
48,816,300,30
49,817,835,30
50,826,392,76
51,843,47,30
52,903,655,76
53,917,715,76
54,1068,252,76
55,1076,42,30
56,1099,735,76
57,1102,872,76
58,1124,934,76
59,1141,873,76
60,1149,303,76
61,1150,633,76
62,1172,821,76
63,1198,572,76
64,1218,609,76
65,1225,770,76
66,1229,11,76
67,1244,630,76
68,1284,248,76
69,1315,917,76
70,1328,337,76
71,1363,477,76
72,1377,871,76
73,1408,946,76
74,1416,933,76
75,1431,283,76
76,1469,605,76
77,1476,425,76
78,1495,322,76
79,1497,482,76
80,1498,802,76
81,1500,709,76
82,1523,730,76
83,1536,749,76
84,1568,173,76
85,1605,620,76
86,1653,400,76
87,1671,320,76
88,1688,590,76
89,1715,730,76
90,1717,516,76
91,1732,225,76
92,1802,113,76
93,1807,52,76
94,1808,358,76
95,1814,496,76
96,1814,947,76
97,1859,912,76
98,1862,527,76
99,1872,342,76
